How many people are in the house?;うちに人が何人いますか。\nうち に ひと が なん にん いますか。
In the house there are two people.;うちに人が二人います。\nうち に ひと が ふたり います。
How many trees are outside? (general);そと に 木 が いくつ ありますか。
There are a lot of trees outside.;そと に 木 が たくさん あります。
How many pictures are in the room?;へや に え が なん まい ありますか。
There are five pictures.;ご まい あります。
How many mandarins are there? (small);みかん が なん こ ありますか。
There are nine mandarins. (small);みかん が きゅうこ あります。
one (person);ひとり\n一人
two (people);ふたり\n二人
three (people);さんにん\n三人
four (people);よにん\n四人
five (people);ごにん\n五人
six (people);ろくにん\n六人
seven (people);しちにん、ななにん\n七人
eight (people);はちにん\n八人
nine (people);きゅうにん\n九人
ten (people);じゅうにん\n十人
how many (people);なんにん\n何人
one (general);ひとつ\n一つ
two (general);ふたつ\n二つ
three (general);みっつ\n三つ
four (general);よっつ\n四つ
five (general);いつつ\n五つ
six (general);むっつ\n六つ
seven (general);ななつ\n七つ
eight (general);やっつ\n八つ
nine (general);ここのつ\n九つ
ten (general);とう\n十
how many (general);いくつ
one (small);いっこ\n一個
two (small);にこ\n二個
three (small);さんこ\n三個
four (small);よんこ\n四個
five (small);ごこ\n五個
six (small);ろっこ\n六個
seven (small);ななこ\n七個
eight (small);はっこ、 はちこ\n八個
nine (small);きゅうこ\n九個
ten (small);じゅっこ\n十個
how many (small);なんこ\n何個
one (book);いっさつ\n一冊
two (book);にさつ\n二冊
three (book);さんさつ\n三冊
four (book);よんさつ\n四冊
five (book);ごさつ\n五冊
six (book);ろくさつ\n六冊
seven (book);ななさつ\n七冊
eight (book);はっさつ\n八冊
nine (book);きゅうさつ\n九冊
ten (book);じゅっさつ\n十冊
how many (book);なんさつ\n何冊
one (flat);いちまい\n一枚
two (flat);にまい\n二枚
three (flat);さんまい\n三枚
four (flat);よんまい\n四枚
five (flat);ごまい\n五枚
six (flat);ろくまい\n六枚
seven (flat);ななまい\n七枚
eight (flat);はちまい\n八枚
nine (flat);きゅうまい\n九枚
ten (flat);じゅうまい\n十枚
how many (flat);なんまい\n何枚
one (long);いっぽん\n一本
two (long);にほん\n二本
three (long);さんぼん\n三本
four (long);よんほん\n四本
five (long);ごほん\n五本
six (long);ろっぽん\n六本
seven (long);ななほん\n七本
eight (long);はっぽん\n八本
nine (long);きゅうほん\n九本
ten (long);じゅっぽん\n十本
how many (long);なんぼん\n何本
