I am student\nI am student too;私 は がくせい です\n私 も がくせい です
Patryk can speak polish\nPatrycja can speak polish too;パトリックさん は ポーランドご が できます\nパトリシアさん も ポーランドご が できます
I can speak polish\nI can speak japanese too;私 は ポーランドご が できます\n私 は にほんご も できます
notebook;ノート
book;ほん
newspaper;しんぶん
clock;とけい
bag;かばん
desk;つくえ
chair;いす
key;かぎ
car;くるま
table;テーブル
this is;これは
is this book?;これ は ほん ですか
no, it's not book;いいえ、ほん じゃない です
what's this?;なん ですか
this is notebook;ノート です
this (close);これ
that (mid distance);それ
that (far);あれ
what is this? (distance);これ は なんですか
that is note　(distance);それ は ノート です
