Patryk what is your country?;パトリックさん おくには。
My country is Poland.;ポーランド です。
Patryk where are you from?;パトリックさん は どちら から ですか。
I come from Poland.;私 は ポーランド から きました。
Patryk what nationality are you?;パトリックさん は なに じん ですか。
I am polish nationality.;私 は ポーランド じん です。
Patryk what language can you speak?;パトリックさん は なにご が できますか。
I speak english and a little japanese.;私 は えいご と すこし にほんご が できます。
I am studying japanese.;にほんご は べんきょうちゅう です。
Patryk do you speak japanese?;パトリックさん は にほんご が できますか。
Yes, I speak japanese.;はい。私 は にほんご が できます。
No, I don't speak japanese.;いいえ。私 は にほんご は できません。
What nationality is Patryk?;パトリックさん は なに じん ですか。
Patryk is polish nationality.;パトリックさん は ポーランド じん です。
Are you japanese?;にほん じん ですか。
No i'm not japanese. I am polish;いいえ。にほん じん じゃない です。ポーランド じん です。
poland;ポーランド
germany;ドイツ
united kingdom;イギリス
france;フランス
russia;ロシア
spain;スペイン
portugal;ポルトガル
japan;にほん
south korea;かんこく
china;ちゅうごく
india;インド
america;アメリカ
canada;カナダ
australia;オーストラリア
new zealand;ニュージーランド
brazil;ブラジル
mexico;メキシコ
north korea;きたちょうせん
country;くに
indian language;インディーご
english;えいご
from;から
be able to;できます
a little;すこし
and;と
which;どちら
to come;きます
or;か
