kara;retribution
wchłaniać;absorb
pochłaniać;engross
zaprzątać czyiś umysł;preoccupy
zasuwać +rz, zatrzaskać;latch
koncert +cz;gig
szczery;frank
nieśmiały 3;coy, timid, bashful
belka, promień, uśmiechać się;beam
nerwowo szukać;fumble
wtrącać;interject
pokuta;penance
węzeł;knot
złamanie +cz;fracture
zakładać, ustanawiać, powoływać;establish
zdecydowanie;definitely
średni, mierny;mediocre
ostrożnie;gingerly
ostrożny;wary
orać, bruzda na skórze;furrow
nakładać, sprawiać;inflict
szlifować, ostrzyć;hone
skupiać się, naprawić;fixate
stop (np. metali), mieszać;alloy
spodziewać się, oczekiwać;anticipate
przypalać, poparzenie;scorch
twierdzić, domagać się, rościć prawo;claim
wystawać;protrude
zator, tłok;congestion
wirować, szpula;reel
w każdym razie;in any case
stronniczość +prz;bias
tępy, otwarty (rozmowa), złagodzić;blunt
umiarkowany, łagodzić;moderate
wywoływać;evoke
skoczyć, przeskoczyć (formy);leap leapt leapt
trawić, przegląd;digest
uprzeć się;dig one’s heel in
uroczysty;solemn
podporządkować się 2;toe the line, subdue
zwlekać 2;drag one’s feet, procrastinate
osmyk włosów, pnącza;tendril
oświetlić;illuminate
wytrzymać, opierać się;withstand
postawa, zachowanie się;demeanor
poniżać, zniżać się;demean
niechętny;reluctant
robić próbę, przygotowywać (się lub kogoś);rehearse
chętny do zrobienia, ochoczy 2;willing, eager
stosować się;comlpy
zyskowy;lucrative
dziwak, bzik;crank
mieć tendecje;tend
pospieszny;hasty
nieskazitelny;pristine
staroświecki, duszny;stuffy
dobroczynny, życzliwy;benevolent
sprostować;straighten
plama +cz 2;stain, smear
gęsty;dense
w tym;therein
(narzucać) tempo;pace
przetrząsnąć;rummage
gwałtowny spadek;slump
gwałtowny wzrost, nagły ruch;surge
szybki;swift
natychmiastowy, skłaniać, wywołać;prompt
plusk;plop
chlapać;splatter
przyzwyczaić się;accustom
wytrwały, nieustępliwy 2;tenacious, persistent
zobowiązać, popełniać;commit
pedał, ciota;poof
zamieszanie;ruckus
powidok;afterimage
tętniący życiem;vibrant
olśniewający;effulgent
czarujący;glamorous
przystający, zgodny z czymś;congruent
zamieszki;riot
chudy, skromny;meagre
zmienny;fickle
więzień, jeniec;captive
punkt kulminacyjny;climax
ropieć;fester
wirować 2;twirl, whirl
wyrzec się;disown
omylny, zawodny;fallible
niezawodny;reliable
szeroki wybór, ustawiać;array
zadręczać się czymś;agonize
zadośćuczynić;atone
sprytny 2;canny, shrewd
niesamowity;uncanny
wnikliwość (umiejętność);insight
lubieżność (zbyt łatwy kontant), pożądać +rz;lust
olśniewać, blask, oślepiać;dazzle
być żądnym czegoś;covet
żywotność;vivacity
poruszający, przywoływać wspomnienie;evocative
