embassy;たいしかん\n大使館
many;たくさん\n沢山
taxi;タクシー
eggs, egg;たまご\n卵
birthday;たんじょうび\n誕生日
length, height;たて\n縦
building;たてもの\n建物
hand, arm;て\n手
table;テーブル
tape;テープ
tape recorder;テープレコーダー
letter (message);てがみ\n手紙
weather, the elements;てんき\n天気
television, TV;テレビ
examination, quiz, test;テスト
Japanese style door;と\n戸
toilet;トイレ
watch, clock, timepiece;とけい\n時計
time, moment, occasion, chance;とき\n時
sometimes, at times;ときどき\n時々
place;ところ\n所
friend, companion;ともだち\n友達
next door to;となり\n隣
tenth day of the month, 10 days;とおか\n十日
bird;とり\n鳥
chicken meat;とりにく\n鶏肉
year, age;とし\n年
library;としょかん\n図書館
next;つぎ\n次
first day of the month;ついたち\n一日
desk;つくえ\n机
above, up, over, top, surface;うえ\n上
sea;うみ\n海
back, behind, rear;うしろ\n後ろ
song;うた\n歌
coat, tunic, jacket, outer garment;うわぎ\n上着
shirt;ワイシャツ
mountain, hill;やま\n山
greengrocer, fruit and vegetable shop, versatile;やおや\n八百屋
vegetable;やさい\n野菜
rest, vacation, holiday;やすみ\n休み
eight, 8;やっつ\n八つ
fourth day of the month, 4 days;よっか\n四日
beside, side, width;よこ\n横
evening, night;よる\n夜
four, 4;よつ\n四つ
western clothes;ようふく\n洋服
eighth day of the month, 8 days;ようか\n八日
snow;ゆき\n雪
last night;ゆうべ\n昨夜
post office;ゆうびんきょく\n郵便局
evening, dusk;ゆうがた\n夕方
evening meal;ゆうはん\n夕飯
famous;ゆうめい\n有名
magazine;ざっし\n雑誌
all;ぜんぶ\n全部
zero;ゼロ
trousers, pants;ズボン
