Sport is my hobby.;しゅみ　は　スポーツ　です。
What is your hobby, Ken?;けん　さん　の　しゅみ　は　何　ですか
What movies do you like?;どんな　えいが　が　好き　です　か
I like science fiction.;SF が　好き　です。
Can you play sports?;スポーツ　が　できますか
Yes I can.;はい。できます。
What type of sports can you play?;どんな　スポーツ　が　できますか
I can play tennis.;テニス　が　できます。
Reading books is my hobby.;しゅみは本を読むことです。\nしゅみ は ほん を よむこと です。
Patryk what do you love doing?;パトルックさん は 何 を すること が 好きですか。
I love sleeping.;私 は ねること が 好きです。
Hobby;しゅみ
Sport;スポーツ
Movies;えいが
Music;おんがく
Book reading;どくしょ
Football;サッカー
Tennis;テニス
Baseball;やきゅう
Judo;じゅうどう
Comedy;コメディ
Action;アクション
Horror;ホラー
Romance;れなあい
Anime;アニメ
Classic music;クラシック
Jazz;ジャズ
Rock;ロック
Pop;ポップス
Piano;ピアノ
Guitar;ギター
Song;うた
Novel;しょうせつ
Literature;ぶんがく
Mystery;ミステリー
Fantasy;フャンタジー
Science Fiction;SF エスーエフ
Manga;マンガ
Magazine;ざっし
Dance;ダンス
Foreign language;がいこく語
