subtelny;subtle
uwodzić;seduce
dociekliwy;inquisitive
prostacki, ropa;crude
zacisk +cz;clamp
benzyna 2;pertol, gasoline
ropa (taka z rany);pus
diesel;oil, diesel
patrzeć chytrze;leer
skończony (nic nie osiągnie), wykończony;washed up
opłata, liczba czegoś;toll
wystawa, pokazywać;display
dostatecznie duży, liczny;ample
męczarnia;torment
przywilej;privilege
przejście;aisle
podobieństwo;affinity
dotknięty (czymś);stricken
wąski;narrow
rów, wąwóz;gully
wzbudzać odrazę;sicken
wypełniony czymś;brim
wewnętrzny, domowy;domestic
urodziwy;comely
podbijać;conquer
jaguar, strzępić;jag
prawy (sprawność);dexter
ganek, przedsionek;porch
nieudolność;ineptitude
uspokoić;pacify
zniewolić, urzec;captivate
pchnięcie, przepychać się;thrust
rachunek, banknot;bill
paragon, pokwitowanie;receipt
spiętrzać się, sterta;heap
rozszaleć;rampage
wścibski;nosy
zachwiać się, ciągnąć się;stagger
zakładać kaganiec, pyszczek;muzzle
wydzielać;exude
obejmować;encompass
pasek (kształt);stripe
zgrzyt, skrzypieć;scrunch
cuchnąć +rz;reek
glut, smarkacz;snot
sprzeciwić się;oppose
wykrzywiać;contort
melancholijny;wistful
odbierać mowę ze zdumienia;dumbfound
zgrabny (ruch);deft
speszyć;faze
ryzykowne przedsięwzięcie;venture
przykrywać;encase
obrazić, urazić;offend
metamorfoza (wygląd);makeover
zmieniać, wykastrować;alter
rozczarować;disillusion
bezbłędny;spot-on
wymijający;evasive
rada, narada;council
dłoń;palm
staw;joint
łydka;calf
pośladek;buttock
pępek;navel
brew;brow
rzęsa;eyelash
źrenica;pupil
skroń;temple
podniebienie;palate
dziąsło;gum
powieka;eyelid
nozdrze;nostril
system układ sercowo naczyniowy;cardiovascular
tętnica;artery
system układ oddechowy;respiratory
tchawica;trachea
krtań;larynx
oskrzele;bronchus
gardło;pharynx
system układ pokarmowy;digestive
jelito;intestine
nerka;kidney
pęcherz moczowy;bladder
gruczoł;gland
jajnik;ovary
jądro;testis
tarczyca;thyroid
system układ rozrodczy;reproductive
zając;hare
foka;seal
wróbel;sparrow
jaskółka;swallow
ropucha;toad
borsuk;badger
dzięcioł;woodpecker
żmija;viper
jeleń (samiec);stag
ryś;lynx
spartaczyć;botch
