What time is now?;いま なん じ です か。\n今何時ですか。
It's half past one.;いち じ はん です。\n一時半です。
What time is it in Tokyo now?;とうきょう は いま なん じ です か。\n東京は今何時ですか
It's four o'clock on Tokyo (now).;とうきょう は (いま) よじ です。\n東京は(今)四時です。
hour;じ\n時
am;ごぜん\n午前
pm;ごご\n午後
now;いま\n今
what time;なん じ\n何時
half;はん\n半
morning;あさ
daytime;ひる
night;よる
sunset;ゆうがた
one (hour);いちじ\n一時
two (hours);にじ\n二時
three (hours);さんじ\n三時
four (hours);よじ\n四時
five (hours);ごじ\n五時
six (hours);ろくじ\n六時
seven (hours);しちじ\n七時
eight (hours);はちじ\n八時
nine (hours);くじ\n九時
ten (hours);じゅうじ\n十時
eleven (hours);じゅういちじ\n十一時
twelve (hours);じゅうにじ\n十二時
one (minute);いっぷん\n一分
two (minutes);にふん\n二分
three (minutes);さんぷん\n三分
four (minutes);よんぷん\n四分
five (minutes);ごふん\n五分
six (minutes);ろっぷん\n六分
seven (minutes);ななふん\n七分
eight (minutes);はっぷん/はちふん\n八分
nine (minutes);きゅうふん\n九分
ten (minutes);じゅっぷん/じっぷん\n十分
eleven (minutes);じゅういっぷん\n十一分
twelve (minutes);じゅうにふん\n十二分
thirteen (minutes);じゅうさんぷん\n十三分
fourteen (minutes);じゅうよんぷん\n十四分
fifteen (minutes);じゅうごふん\n十五分
sixteen (minutes);じゅうろっぷん\n十六分
seventeen (minutes);じゅうななふん\n十七分
eighteen (minutes);じゅうはっぷん/じゅうはちふん\n十八分
nineteen (minutes);じゅうきゅうふん\n十九分
twenty (minutes);にじゅっぷん/にじっぷん\n二十分
thirty (minutes);さんじゅっぷん/さんじっぷん\n三十分
