apartment;アパート
bus;バス
butter;バター
bed;ベッド
ball-point pen;ボールペン
button;ボタン
department store;デパート
door;ドア
elevator;エレベーター
film;フィルム
fork;フォーク
guitar;ギター
gram;グラム
handkerchief;ハンカチ
hotel;ホテル
camera;カメラ
cup;カップ
curry;カレー
calendar;カレンダー
kilogram;キログラム
kilometer;キロメートル
coffee;コーヒー
coat;コート
copy, photocopy;コピー
glass (drinking vessel), tumbler;コップ
class;クラス
match;マッチ
metre, meter;メートル
knife;ナイフ
tie, necktie;ネクタイ
notebook;ノート
news;ニュース
party;パーティー
bread;パン
page;ページ
pen;ペン
pet;ペット
pocket;ポケット
post;ポスト
swimming pool;プール
radio;ラジオ
record;レコード
restaurant;レストラン
sweater, jumper;セーター
shirt;シャツ
shower;シャワー
skirt;スカート
sport, sports;スポーツ
spoon;スプーン
slipper, slippers;スリッパ
heater, stove;ストーブ
taxi;タクシー
table;テーブル
tape;テープ
tape recorder;テープレコーダー
television, TV;テレビ
examination, quiz, test;テスト
toilet;トイレ
shirt;ワイシャツ
zero;ゼロ
trousers, pants;ズボン
